model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
alternative_format,prompt_first,78959,header_density_diff,0.029812842354686703,0.009597561700578709,1.0302616945555865,1.0110624078331099,1.0498255607617786,0.0018951850893030044,-6.2684387727619795,0.015161480714424035
alternative_format,prompt_first,78959,list_density_diff,-0.012746285269778663,0.008707245138001892,0.9873346045778746,0.9706275630778015,1.0043292180018275,0.14323329099695709,-1.943280572445624,0.6999068486862764
alternative_format,prompt_first,78959,bold_density_diff,0.055301125902200376,0.010633355107629862,1.056858814327974,1.0350604184550911,1.0791162849120126,1.990296657901527e-07,-15.429811949010015,2.1893263236916797e-06
alternative_format,prompt_sequence,78959,log_token_ratio,0.48164782185068145,0.012680309798850696,1.6187396001878287,1.5790043285961226,1.659474800519357,0.0,-inf,0.0
alternative_format,prompt_sequence,78959,header_density_diff,0.029812842354686703,0.009596092735896,1.0302616945555865,1.0110653202489819,1.0498225366954153,0.0018921366702594818,-6.270048575094801,0.015137093362075854
alternative_format,prompt_sequence,78959,list_density_diff,-0.012746285269778663,0.008713069316868457,0.9873346045778746,0.9706164842931617,1.004340681589448,0.14350087280982768,-1.9414141615025073,0.7011436075841454
alternative_format,prompt_sequence,78959,bold_density_diff,0.055301125902200376,0.01063064259001009,1.056858814327974,1.0350659229756474,1.0791105461299304,1.9761153337963467e-07,-15.436962686030105,2.1737268671759815e-06
alternative_format,model_pair,78959,log_token_ratio,0.48164782185068145,0.01381108931548657,1.6187396001878287,1.5754662403227475,1.663201550215038,1.3819431425267912e-184,-423.35216652784754,1.9347203995375077e-183
alternative_format,model_pair,78959,header_density_diff,0.029812842354686703,0.009813150443415412,1.0302616945555865,1.0106159557219903,1.050289334201388,0.0024326030059219155,-6.018793399097928,0.019460824047375324
alternative_format,model_pair,78959,list_density_diff,-0.012746285269778663,0.009155794483411086,0.9873346045778746,0.9697573138551304,1.0052304916594579,0.16413339573845306,-1.8070757931301116,0.7984946130641226
alternative_format,model_pair,78959,bold_density_diff,0.055301125902200376,0.011108653763602993,1.056858814327974,1.0340742501896922,1.080145408531192,7.354777629219974e-07,-14.122745531322549,8.090255392141971e-06
format_presence,HC0,78959,log_token_ratio,0.4647675910918886,0.013330456337929899,1.5916442335998815,1.5505975562087855,1.6337774790163833,2.5148283070718e-266,-611.5654302027607,3.26927679919334e-265
format_presence,HC0,78959,header_density_diff,0.07327360927862844,0.010426055680401645,1.0760249070402697,1.0542598066787943,1.098239345971559,2.096171569048228e-12,-26.89090849735779,2.5154058828578737e-11
format_presence,HC0,78959,list_density_diff,0.01178574371254984,0.009523969130934708,1.0118554692431474,0.9931427263640952,1.030920796636753,0.21590806250941907,-1.5329025984373796,0.6971739140155792
